steamid,nJuegos,Indie,Action,Adventure,Strategy,Simulation,RPG,Free to Play,Early Access,Massively Multiplayer,Sports,Violent,Racing,Multiplayer,Singleplayer,Gore,Puzzle,Horror,Shooter,FPS,First-Person,Survival,Difficult,Rogue-like,Platformer,Turn-Based Strategy,Psychological Horror,Action RPG,RTS,MMORPG,JRPG,Zombies
76561197960266144,22,0,22,6,0,0,0,1,0,0,0,0,0,14,11,0,1,0,21,22,22,0,0,0,1,0,0,0,0,0,0,2
76561197960266146,104,17,67,44,21,9,31,8,4,6,1,2,1,47,63,7,8,6,30,38,45,10,2,2,3,9,3,4,8,1,1,7
76561197960266160,153,39,93,46,32,15,17,3,1,0,4,4,5,58,88,5,21,6,46,46,37,3,7,2,7,2,0,7,12,0,0,11
76561197960266163,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266169,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266172,164,26,97,31,34,14,8,6,2,0,1,4,6,67,95,3,24,9,54,46,41,3,3,2,12,9,2,0,17,0,1,6
76561197960266173,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266174,269,153,150,95,49,47,47,3,3,0,6,3,7,53,108,13,36,20,44,35,33,9,17,6,27,7,2,6,4,0,5,12
76561197960266177,214,56,151,38,41,17,27,14,3,2,5,4,8,96,101,10,23,15,78,67,63,8,12,3,16,7,3,4,8,1,1,19
76561197960266188,10,0,10,2,0,0,0,0,0,0,0,0,0,8,5,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,1
76561197960266190,37,5,27,9,0,3,4,1,0,0,0,0,0,20,19,0,3,3,24,23,24,0,1,0,0,0,1,2,0,0,0,2
76561197960266193,26,0,24,7,1,0,3,3,1,0,0,0,0,16,11,1,0,5,21,21,21,6,0,0,0,0,0,0,1,0,0,6
76561197960266195,19,1,15,5,0,1,0,0,0,0,4,0,4,14,10,0,1,0,14,14,14,0,0,0,1,0,0,0,0,0,0,1
76561197960266212,33,0,31,12,0,0,8,1,0,0,0,0,0,14,21,0,0,6,28,27,26,0,1,0,0,0,0,2,0,0,0,2
76561197960266219,341,153,197,124,41,17,65,10,6,6,7,2,13,70,160,10,60,24,69,72,80,11,20,8,44,4,2,7,7,3,0,9
76561197960266225,165,17,133,57,16,3,44,9,4,2,0,2,0,73,86,16,5,27,76,70,63,13,1,2,4,1,4,2,4,2,8,16
76561197960266231,236,70,171,57,38,7,53,5,0,0,1,6,3,71,144,16,28,20,79,78,62,6,14,2,25,17,2,5,5,0,4,11
76561197960266235,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266237,375,158,217,121,69,52,59,9,9,6,9,8,20,112,188,17,52,38,87,71,78,15,24,7,40,17,4,11,8,0,1,24
76561197960266239,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266240,14,0,14,4,0,0,0,0,0,0,0,0,0,9,6,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,1
76561197960266244,21,0,20,5,1,0,0,3,0,0,0,0,0,15,7,0,2,2,18,19,20,1,0,0,1,0,0,0,0,0,0,3
76561197960266252,369,88,186,118,105,31,81,8,2,4,6,1,13,99,198,12,41,26,61,52,60,10,14,5,35,37,6,13,30,1,2,9
76561197960266264,137,2,109,34,12,22,3,4,8,2,5,1,11,83,77,3,5,6,72,69,59,9,1,0,4,0,1,0,1,0,0,9
76561197960266273,12,0,12,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960266275,17,1,16,4,0,0,0,0,0,0,0,0,0,9,8,0,1,0,16,16,16,0,0,0,0,0,0,0,0,0,0,1
76561197960266277,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266278,47,7,35,11,17,4,5,3,2,1,0,0,0,31,22,0,1,1,24,24,24,2,1,0,1,2,0,0,10,0,1,3
76561197960266287,18,1,17,3,0,1,0,1,0,0,0,0,0,14,9,0,0,1,17,17,17,1,0,0,0,0,0,0,0,0,0,4
76561197960266292,567,287,300,227,129,39,105,19,6,7,7,5,9,151,296,10,133,16,84,82,84,14,47,11,81,23,1,17,24,3,7,14
76561197960266299,9,0,9,2,0,0,0,0,0,0,0,0,0,7,3,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,1
76561197960266301,20,0,17,7,2,2,1,1,1,1,0,0,0,14,5,0,0,0,16,15,14,2,1,0,0,0,0,0,0,0,0,1
76561197960266309,73,8,58,16,13,9,4,12,5,6,3,1,4,57,26,3,1,2,41,41,39,6,2,0,3,3,0,0,3,1,0,6
76561197960266316,18,0,18,5,0,0,0,0,0,0,0,0,0,12,9,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,2
76561197960266334,25,1,18,5,4,2,0,0,0,0,0,0,0,15,12,0,0,0,18,18,19,0,0,0,0,2,0,0,0,0,0,2
76561197960266340,18,0,16,8,0,0,0,0,0,0,0,0,0,10,10,0,2,0,16,16,16,0,0,0,0,0,0,0,0,0,0,1
76561197960266348,71,14,56,18,9,2,8,7,3,6,1,2,2,41,22,5,5,4,32,33,30,7,5,1,7,1,0,3,1,2,0,6
76561197960266350,16,0,15,5,0,0,1,1,0,1,0,0,0,11,7,0,0,0,14,14,14,0,0,0,0,0,0,0,0,1,0,1
76561197960266356,174,44,75,52,62,27,10,12,5,6,7,1,9,79,92,8,13,12,30,28,28,9,7,3,8,26,2,2,15,1,0,5
76561197960266370,327,49,174,83,91,60,46,18,16,11,7,4,7,136,163,10,11,14,93,101,85,23,7,3,4,25,0,3,12,4,3,13
76561197960266371,32,7,26,11,3,3,4,1,0,0,1,0,0,11,18,0,5,2,16,17,18,0,1,0,6,0,0,0,0,0,0,1
76561197960266389,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266407,113,36,77,29,17,4,25,5,0,0,1,1,1,42,62,1,18,6,39,37,38,5,8,1,9,2,1,6,7,0,0,5
76561197960266416,17,0,17,6,0,0,0,1,0,0,0,0,0,10,8,0,1,0,16,17,17,0,0,0,1,0,0,0,0,0,0,1
76561197960266422,41,1,35,11,4,3,3,1,0,1,0,0,0,25,28,0,3,0,27,29,29,0,0,0,1,1,0,0,1,0,0,2
76561197960266423,42,3,19,8,19,6,4,4,0,0,0,0,0,25,26,0,0,0,16,16,16,0,1,0,0,12,0,0,2,0,0,2
76561197960266429,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266440,290,95,184,84,56,27,45,31,2,7,11,2,17,105,161,10,45,9,64,60,54,5,19,4,34,16,2,8,5,2,0,9
76561197960266448,83,28,60,17,19,4,16,12,4,1,4,0,2,45,38,1,10,3,27,28,29,11,7,3,5,1,0,6,1,0,0,8
76561197960266455,400,195,302,79,87,34,61,64,23,26,20,12,15,205,139,33,22,32,112,99,72,26,38,22,48,18,3,11,15,6,0,18
76561197960266457,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960266471,19,0,19,5,0,0,0,0,0,0,0,0,0,13,9,0,0,1,19,19,19,0,0,0,0,0,0,0,0,0,0,3
76561197960266476,139,24,60,17,66,24,5,4,1,0,2,0,2,67,85,1,10,5,28,30,30,4,4,2,3,18,0,3,19,0,0,5
76561197960266481,13,0,13,2,1,0,0,1,0,0,0,0,0,11,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960266482,107,19,83,27,17,19,11,21,3,7,4,1,10,63,54,5,6,4,54,48,40,6,3,0,2,1,0,1,2,2,0,7
76561197960266484,50,2,37,10,7,8,1,3,2,2,0,1,2,29,30,1,3,2,30,29,31,3,0,0,1,0,0,0,0,0,0,2
76561197960266489,98,22,72,31,17,5,27,13,3,3,1,1,5,56,42,4,4,6,48,42,43,8,3,1,7,5,0,3,0,2,1,8
76561197960266493,38,1,33,9,3,3,2,7,3,5,4,0,3,26,15,1,1,2,24,26,22,5,0,0,1,0,0,1,0,1,0,5
76561197960266498,67,13,60,20,1,7,7,38,3,13,0,2,1,48,20,8,0,5,39,40,39,7,1,0,0,0,2,1,0,4,0,10
76561197960266501,742,371,426,237,150,108,119,153,40,50,38,17,37,219,220,31,63,58,137,119,124,32,24,7,60,17,11,9,19,19,14,31
76561197960266516,69,12,45,18,17,4,5,1,0,0,0,0,0,37,47,2,10,2,34,32,34,1,1,0,7,12,0,0,0,0,0,6
76561197960266519,146,37,117,47,12,6,22,12,3,2,2,1,4,64,89,10,18,16,71,66,63,9,7,0,13,0,0,2,1,0,0,13
76561197960266522,29,0,26,8,3,3,0,2,0,0,1,0,0,21,17,0,1,1,22,22,25,0,0,0,1,0,0,0,2,0,0,1
76561197960266526,56,3,46,18,6,4,3,3,0,0,3,0,3,33,31,1,2,1,28,29,30,1,1,0,1,0,0,1,5,0,0,3
76561197960266530,23,0,23,5,0,0,1,0,0,0,0,0,0,13,12,0,0,0,19,19,19,0,0,0,1,0,0,0,0,0,0,2
76561197960266531,664,275,305,379,47,29,93,29,3,5,4,10,7,98,352,28,137,89,89,92,96,12,28,8,82,5,23,23,10,1,4,17
76561197960266546,1457,514,778,547,286,185,240,58,14,24,35,25,48,382,713,69,186,144,262,229,217,62,62,24,119,61,33,37,73,7,17,70
76561197960266547,65,4,45,28,4,3,2,6,4,4,2,2,3,31,17,2,2,1,24,20,15,6,1,0,3,0,0,0,1,0,0,4
76561197960266549,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266551,419,182,245,161,112,31,106,19,7,14,3,5,5,132,214,14,70,23,69,57,57,15,34,13,67,28,2,27,31,6,19,12
76561197960266553,13,0,13,4,0,0,0,0,0,0,0,0,0,9,5,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,1
76561197960266560,156,59,94,63,15,5,16,2,2,0,1,4,2,39,94,11,38,8,50,44,46,1,8,1,25,1,2,4,6,0,1,6
76561197960266561,189,67,107,51,55,47,33,36,13,12,4,4,6,95,77,10,13,13,45,42,45,23,5,2,3,6,1,4,15,2,1,14
76561197960266563,85,19,56,21,24,11,7,4,1,3,0,1,2,32,42,2,5,11,31,28,28,3,1,1,5,6,1,1,5,1,0,8
76561197960266564,118,49,77,29,34,20,11,5,1,0,7,1,7,49,63,3,23,5,32,30,37,2,6,1,10,5,1,2,7,0,0,1
76561197960266573,158,90,108,66,15,23,14,5,11,11,2,4,3,41,29,11,3,17,37,43,38,14,2,4,8,7,1,0,2,2,1,15
76561197960266579,1562,861,735,661,321,179,339,41,23,6,38,21,42,252,790,58,262,108,155,120,168,47,123,47,197,66,36,38,53,2,64,32
76561197960266580,40,6,29,7,8,10,1,14,5,7,1,0,0,26,16,0,1,0,23,22,18,6,0,0,0,0,0,0,0,0,0,3
76561197960266591,26,2,21,11,4,0,5,4,0,2,0,0,0,14,11,0,2,1,18,18,18,1,0,0,1,4,0,0,0,2,0,2
76561197960266615,127,12,84,52,14,4,19,5,1,1,1,4,2,44,72,1,14,9,41,33,30,7,4,2,10,9,2,0,1,0,1,6
76561197960266629,46,0,44,6,1,0,0,0,0,0,0,1,0,19,26,3,0,3,41,42,33,0,0,0,1,0,0,0,1,0,0,5
